state,district,indicator,anomaly_month,insight
Karnataka,Bangalore Urban,mpi,2023-05-01,Low Risk: Karnataka - Bangalore Urban shows likely self-correcting MPI anomaly detected in May 2023 (deviation: 39.2%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Karnataka,Bangalore Urban,mpi,2024-08-01,Low Risk: Karnataka - Bangalore Urban shows likely self-correcting MPI anomaly detected in August 2024 (deviation: 37.7%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Karnataka,Bangalore Urban,mpi,2025-09-01,Low Risk: Karnataka - Bangalore Urban shows likely self-correcting MPI anomaly detected in September 2025 (deviation: 35.4%). Persistence likelihood: 30%. Recommendation: Monitor – No immediate action.
Karnataka,Bangalore Urban,ssi,2023-10-01,Low Risk: Karnataka - Bangalore Urban shows likely self-correcting SSI anomaly detected in October 2023 (deviation: 30.9%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Karnataka,Bangalore Urban,ssi,2024-11-01,Low Risk: Karnataka - Bangalore Urban shows likely self-correcting SSI anomaly detected in November 2024 (deviation: 27.8%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Karnataka,Mysore,mpi,2023-06-01,Low Risk: Karnataka - Mysore shows likely self-correcting MPI anomaly detected in June 2023 (deviation: 29.8%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Karnataka,Mysore,mpi,2024-11-01,Low Risk: Karnataka - Mysore shows likely self-correcting MPI anomaly detected in November 2024 (deviation: 19.0%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Karnataka,Mysore,ssi,2024-09-01,Low Risk: Karnataka - Mysore shows likely self-correcting SSI anomaly detected in September 2024 (deviation: 26.6%). Persistence likelihood: 10%. Recommendation: Monitor – No immediate action.
Karnataka,Mysore,ssi,2024-11-01,Low Risk: Karnataka - Mysore shows likely self-correcting SSI anomaly detected in November 2024 (deviation: 15.9%). Persistence likelihood: 10%. Recommendation: Monitor – No immediate action.
Karnataka,Mysore,ssi,2025-10-01,Low Risk: Karnataka - Mysore shows likely self-correcting SSI anomaly detected in October 2025 (deviation: 39.1%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Maharashtra,Mumbai,mpi,2023-07-01,Low Risk: Maharashtra - Mumbai shows likely self-correcting MPI anomaly detected in July 2023 (deviation: 17.9%). Persistence likelihood: 10%. Recommendation: Monitor – No immediate action.
Maharashtra,Mumbai,mpi,2023-08-01,Low Risk: Maharashtra - Mumbai shows likely self-correcting MPI anomaly detected in August 2023 (deviation: 16.0%). Persistence likelihood: 10%. Recommendation: Monitor – No immediate action.
Maharashtra,Mumbai,mpi,2024-02-01,Low Risk: Maharashtra - Mumbai shows likely self-correcting MPI anomaly detected in February 2024 (deviation: 24.4%). Persistence likelihood: 10%. Recommendation: Monitor – No immediate action.
Maharashtra,Pune,ssi,2024-01-01,Low Risk: Maharashtra - Pune shows likely self-correcting SSI anomaly detected in January 2024 (deviation: 35.0%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Maharashtra,Pune,ssi,2024-08-01,Low Risk: Maharashtra - Pune shows likely self-correcting SSI anomaly detected in August 2024 (deviation: 21.3%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Maharashtra,Pune,ssi,2025-01-01,Low Risk: Maharashtra - Pune shows likely self-correcting SSI anomaly detected in January 2025 (deviation: 23.1%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Tamil Nadu,Chennai,ssi,2024-10-01,Low Risk: Tamil Nadu - Chennai shows likely self-correcting SSI anomaly detected in October 2024 (deviation: 36.8%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Tamil Nadu,Chennai,ssi,2025-10-01,Low Risk: Tamil Nadu - Chennai shows likely self-correcting SSI anomaly detected in October 2025 (deviation: 23.3%). Persistence likelihood: 10%. Recommendation: Monitor – No immediate action.
Tamil Nadu,Coimbatore,mpi,2024-02-01,Low Risk: Tamil Nadu - Coimbatore shows likely self-correcting MPI anomaly detected in February 2024 (deviation: 26.8%). Persistence likelihood: 10%. Recommendation: Monitor – No immediate action.
Tamil Nadu,Coimbatore,mpi,2024-11-01,Low Risk: Tamil Nadu - Coimbatore shows likely self-correcting MPI anomaly detected in November 2024 (deviation: 20.5%). Persistence likelihood: 10%. Recommendation: Monitor – No immediate action.
Tamil Nadu,Coimbatore,mpi,2025-08-01,Low Risk: Tamil Nadu - Coimbatore shows likely self-correcting MPI anomaly detected in August 2025 (deviation: 17.1%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Tamil Nadu,Coimbatore,ssi,2023-08-01,Low Risk: Tamil Nadu - Coimbatore shows likely self-correcting SSI anomaly detected in August 2023 (deviation: 21.7%). Persistence likelihood: 10%. Recommendation: Monitor – No immediate action.
Tamil Nadu,Coimbatore,ssi,2023-12-01,Low Risk: Tamil Nadu - Coimbatore shows likely self-correcting SSI anomaly detected in December 2023 (deviation: 37.9%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Tamil Nadu,Coimbatore,ssi,2024-04-01,Low Risk: Tamil Nadu - Coimbatore shows likely self-correcting SSI anomaly detected in April 2024 (deviation: 18.4%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
Tamil Nadu,Coimbatore,ssi,2025-04-01,Low Risk: Tamil Nadu - Coimbatore shows likely self-correcting SSI anomaly detected in April 2025 (deviation: 21.6%). Persistence likelihood: 0%. Recommendation: Monitor – No immediate action.
