state,district,avg_monthly_updates,update_stability_score,anomaly_resolution_rate,resource_adequacy_score,capacity_classification,absorption_capability,explanatory_note
100000,100000,0.5,1.8315638888734178,1.0,22.3,Under-Resourced,At Risk,Limited update activity (0/month) limits current capacity. High volatility suggests process issues.
Andaman & Nicobar Islands,Andamans,365.3333333333333,37.80671167858691,1.0,38.6,Adequately Resourced,At Risk,Stable operations (365 avg updates) but moderate growth headroom. Monitor capacity trends.
Andaman & Nicobar Islands,Nicobars,2.0,17.692120631776422,1.0,26.2,Under-Resourced,At Risk,Limited update activity (2/month) limits current capacity. High volatility suggests process issues.
Andaman & Nicobar Islands,South Andaman,168.0,62.35005739611369,1.0,43.7,Adequately Resourced,At Risk,Stable operations (168 avg updates) but moderate growth headroom. Monitor capacity trends.
Andaman and Nicobar Islands,Nicobar,262.5,45.507576992866085,1.0,41.2,Adequately Resourced,At Risk,Stable operations (262 avg updates) but moderate growth headroom. Monitor capacity trends.
Andaman and Nicobar Islands,North And Middle Andaman,943.3333333333334,53.246084876441344,1.0,44.6,Adequately Resourced,At Risk,Stable operations (943 avg updates) but moderate growth headroom. Monitor capacity trends.
Andaman and Nicobar Islands,South Andaman,1526.5,47.5551209925852,1.0,43.1,Adequately Resourced,At Risk,Stable operations (1526 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Adilabad,10798.666666666666,52.50900186718379,1.0,53.9,Adequately Resourced,At Risk,Stable operations (10799 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Alluri Sitharama Raju,3412.0,55.34490298589837,1.0,47.7,Adequately Resourced,At Risk,Stable operations (3412 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Anakapalli,2430.3333333333335,31.99199468505644,1.0,38.6,Adequately Resourced,At Risk,Stable operations (2430 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Anantapur,18245.0,43.5807001001655,1.0,58.0,Adequately Resourced,At Risk,Stable operations (18245 avg updates) but moderate growth headroom. Monitor capacity trends.
Andhra Pradesh,Ananthapur,10056.5,48.30434836167398,0.5,44.2,Adequately Resourced,At Risk,Stable operations (10056 avg updates) but moderate growth headroom. Improve anomaly response.
